maker_slug,maker_name,model_slug,model_name,family_name,source_state,priority,customer_visible,section_count,diagram_count,part_row_count,first_blocking_stage
audi,Audi,100-c2-typ-43,100 C2 (Typ 43),100,OBSERVED_BUNDLE,,false,6,8,159,FITMENT_READY
audi,Audi,100-c2-typ-43-facelift,100 C2 (Typ 43) Facelift,100,OBSERVED_BUNDLE,,false,6,8,160,FITMENT_READY
audi,Audi,100-c3-typ-44,100 C3 (Typ 44),100,OBSERVED_BUNDLE,,false,6,7,132,FITMENT_READY
audi,Audi,100-c3-typ-44-facelift,100 C3 (Typ 44) Facelift,100,OBSERVED_BUNDLE,,false,6,11,190,FITMENT_READY
audi,Audi,100-c4-typ-4a,100 C4 (Typ 4A),100,OBSERVED_BUNDLE,,false,6,40,751,FITMENT_READY
audi,Audi,100-c4-typ-4a-facelift,100 C4 (Typ 4A) Facelift,100,OBSERVED_BUNDLE,,false,6,16,309,FITMENT_READY
audi,Audi,200-c2-typ-43,200 C2 (Typ 43),200,OBSERVED_BUNDLE,,false,6,4,75,FITMENT_READY
audi,Audi,200-c3-typ-44,200 C3 (Typ 44),200,OBSERVED_BUNDLE,,false,6,6,107,FITMENT_READY
audi,Audi,200-c3-typ-44-facelift,200 C3 (Typ 44) Facelift,200,OBSERVED_BUNDLE,,false,6,19,313,FITMENT_READY
audi,Audi,50-typ-86,50 (Typ 86),50 (Typ 86),OBSERVED_BUNDLE,,false,6,10,144,FITMENT_READY
audi,Audi,80-rs-2-typ-8c,80 RS 2 (Typ 8C),80 RS 2 (Typ 8C),OBSERVED_BUNDLE,,false,6,3,40,FITMENT_READY
audi,Audi,80-90-b1-typ-80,80/90 B1 (Typ 80),80/90,OBSERVED_BUNDLE,,false,6,10,200,FITMENT_READY
audi,Audi,80-90-b1-typ-82-facelift,80/90 B1 (Typ 82) Facelift,80/90,OBSERVED_BUNDLE,,false,6,7,125,FITMENT_READY
audi,Audi,80-90-b3-typ-89,80/90 B3 (Typ 89),80/90,OBSERVED_BUNDLE,,false,6,6,120,FITMENT_READY
audi,Audi,80-90-b4-typ-8c,80/90 B4 (Typ 8C),80/90,OBSERVED_BUNDLE,,false,6,9,165,FITMENT_READY
audi,Audi,a1-typ-8x,A1 (Typ 8X),A1 (Typ 8X),OBSERVED_BUNDLE,,false,6,61,991,FITMENT_READY
audi,Audi,a1-typ-8x-facelift,A1 (Typ 8X) Facelift,A1 (Typ 8X),OBSERVED_BUNDLE,,false,6,89,1443,FITMENT_READY
audi,Audi,a1-typ-gb,A1 (Typ GB),A1 (Typ GB),OBSERVED_BUNDLE,,false,6,48,720,FITMENT_READY
audi,Audi,a2-typ-8z,A2 (Typ 8Z),A2 (Typ 8Z),OBSERVED_BUNDLE,,false,6,49,874,FITMENT_READY
audi,Audi,a3-typ-8p-facelift,A3 (Typ 8P) Facelift,A3 (Typ 8P),OBSERVED_BUNDLE,,false,6,60,1024,FITMENT_READY
audi,Audi,a3-typ-8v,A3 (Typ 8V),A3 (Typ 8V),OBSERVED_BUNDLE,,false,6,86,1364,FITMENT_READY
audi,Audi,a3-typ-8v-facelift,A3 (Typ 8V) Facelift,A3 (Typ 8V),OBSERVED_BUNDLE,,false,6,86,1439,FITMENT_READY
audi,Audi,a3-s3-typ-8l,A3/S3 (Typ 8L),A3/S3 (Typ 8L),OBSERVED_BUNDLE,,false,6,43,777,FITMENT_READY
audi,Audi,a3-s3-typ-8l-facelift,A3/S3 (Typ 8L) Facelift,A3/S3 (Typ 8L),OBSERVED_BUNDLE,,false,6,55,987,FITMENT_READY
audi,Audi,a3-s3-typ-8p,A3/S3 (Typ 8P),A3/S3 (Typ 8P),OBSERVED_BUNDLE,,false,6,46,862,FITMENT_READY
audi,Audi,a3-s3-typ-8p-facelift,A3/S3 (Typ 8P) Facelift,A3/S3 (Typ 8P),OBSERVED_BUNDLE,,false,6,64,1160,FITMENT_READY
audi,Audi,a3-s3-typ-8v,A3/S3 (Typ 8V),A3/S3 (Typ 8V),OBSERVED_BUNDLE,,false,6,106,1799,FITMENT_READY
audi,Audi,a3-s3-typ-8v-facelift,A3/S3 (Typ 8V) Facelift,A3/S3 (Typ 8V),OBSERVED_BUNDLE,,false,6,88,1471,FITMENT_READY
audi,Audi,a3-s3-typ-8y,A3/S3 (Typ 8Y),A3/S3 (Typ 8Y),OBSERVED_BUNDLE,,false,6,62,1007,FITMENT_READY
audi,Audi,a3-s3-rs3-typ-8y-facelift,A3/S3/RS3 (Typ 8Y) Facelift,A3/S3/RS3 (Typ 8Y),OBSERVED_BUNDLE,,false,6,0,0,FITMENT_READY
audi,Audi,a4-b5-typ-8d,A4 B5 (Typ 8D),A4,OBSERVED_BUNDLE,,false,6,22,439,FITMENT_READY
audi,Audi,a4-b5-typ-8d-facelift,A4 B5 (Typ 8D) Facelift,A4,OBSERVED_BUNDLE,,false,6,54,1038,FITMENT_READY
audi,Audi,a4-b6-typ-8e-8h,A4 B6 (Typ 8E/8H),A4,OBSERVED_BUNDLE,,false,6,4,74,FITMENT_READY
audi,Audi,a4-b7-typ-8e-8h,A4 B7 (Typ 8E/8H),A4,OBSERVED_BUNDLE,,false,6,45,854,FITMENT_READY
audi,Audi,a4-b8-typ-8k,A4 B8 (Typ 8K),A4,OBSERVED_BUNDLE,,false,6,0,0,FITMENT_READY
audi,Audi,a4-b8-typ-8k-facelift,A4 B8 (Typ 8K) Facelift,A4,OBSERVED_BUNDLE,,false,6,77,1302,FITMENT_READY
audi,Audi,a4-b9-typ-8w,A4 B9 (Typ 8W),A4,OBSERVED_BUNDLE,,false,6,0,0,FITMENT_READY
audi,Audi,a4-b9-typ-8w-facelift,A4 B9 (Typ 8W) Facelift,A4,OBSERVED_BUNDLE,,false,6,0,0,FITMENT_READY
audi,Audi,a4-s4-b5-typ-8d,A4/S4 B5 (Typ 8D),A4/S4,OBSERVED_BUNDLE,,false,6,11,200,FITMENT_READY
audi,Audi,a4-s4-b5-typ-8d-facelift,A4/S4 B5 (Typ 8D) Facelift,A4/S4,OBSERVED_BUNDLE,,false,6,44,814,FITMENT_READY
audi,Audi,a4-s4-b6-typ-8e-8h,A4/S4 B6 (Typ 8E/8H),A4/S4,OBSERVED_BUNDLE,,false,6,51,947,FITMENT_READY
audi,Audi,a4-s4-b8-typ-8k,A4/S4 B8 (Typ 8K),A4/S4,OBSERVED_BUNDLE,,false,6,98,1614,FITMENT_READY
audi,Audi,a4-s4-b8-typ-8k-facelift,A4/S4 B8 (Typ 8K) Facelift,A4/S4,OBSERVED_BUNDLE,,false,6,81,1352,FITMENT_READY
audi,Audi,a4-s4-b9-typ-8w,A4/S4 B9 (Typ 8W),A4/S4,OBSERVED_BUNDLE,,false,6,75,1301,FITMENT_READY
