Brand,Coverage Source,In 7zap 70,China-origin/China-market,Priority,Default Include,Reference URL,Notes
Abarth,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Alfa Romeo,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Alpine,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Audi,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
BMW,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
BrightDrop,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Buick,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Cadillac,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Chevrolet,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Chrysler,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Citroën,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Cupra,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
