priority,visual_family_id,make,model_family,rank,score,source,title,query,downloaded_file,width,height,creator,creator_url,license,license_url,attribution,landing_url,image_url,sha256,review_status,rejection_reason
P0,VF-TOYOTA-HILUX-AN120-AN130-SINGLE-CAB-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Hilux,1,28.0,wikimedia_commons,File:2024 Toyota HiLux SR 4X4 mild hybrid front (1).jpg,Toyota Hilux AN120/AN130 car,,2000,936,LuvsMG481,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LuvsMG481; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%281%29.jpg/3840px-2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-SINGLE-CAB-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Hilux,2,28.0,wikimedia_commons,File:2024 Toyota HiLux SR 4X4 mild hybrid rear (1).jpg,Toyota Hilux AN120/AN130 car,,2000,924,LuvsMG481,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LuvsMG481; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_rear_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/2024_Toyota_HiLux_SR_4X4_mild_hybrid_rear_%281%29.jpg/3840px-2024_Toyota_HiLux_SR_4X4_mild_hybrid_rear_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-SINGLE-CAB-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Hilux,3,27.0,wikimedia_commons,File:Toyota Hilux Invincible 50 (38438265462).jpg,Toyota Hilux AN120/AN130 car,,2000,1200,"More Cars from Berlin, Germany",,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"More Cars from Berlin, Germany; Toyota Hilux Invincible 50; CC BY 2.0",https://commons.wikimedia.org/wiki/File:Toyota_Hilux_Invincible_50_(38438265462).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Toyota_Hilux_Invincible_50_%2838438265462%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-PRE-FACELIFT,Toyota,Hilux,1,28.0,wikimedia_commons,File:2024 Toyota HiLux SR 4X4 mild hybrid front (1).jpg,Toyota Hilux AN120/AN130 car,,2000,936,LuvsMG481,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LuvsMG481; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%281%29.jpg/3840px-2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-PRE-FACELIFT,Toyota,Hilux,2,28.0,wikimedia_commons,File:2024 Toyota HiLux SR 4X4 mild hybrid rear (1).jpg,Toyota Hilux AN120/AN130 car,,2000,924,LuvsMG481,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LuvsMG481; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_rear_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/2024_Toyota_HiLux_SR_4X4_mild_hybrid_rear_%281%29.jpg/3840px-2024_Toyota_HiLux_SR_4X4_mild_hybrid_rear_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-PRE-FACELIFT,Toyota,Hilux,3,27.0,wikimedia_commons,File:Toyota Hilux Invincible 50 (38438265462).jpg,Toyota Hilux AN120/AN130 car,,2000,1200,"More Cars from Berlin, Germany",,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"More Cars from Berlin, Germany; Toyota Hilux Invincible 50; CC BY 2.0",https://commons.wikimedia.org/wiki/File:Toyota_Hilux_Invincible_50_(38438265462).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Toyota_Hilux_Invincible_50_%2838438265462%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-FACELIFT,Toyota,Hilux,1,28.0,wikimedia_commons,File:2024 Toyota HiLux SR 4X4 mild hybrid front (1).jpg,Toyota Hilux AN120/AN130 car,,2000,936,LuvsMG481,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LuvsMG481; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%281%29.jpg/3840px-2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-FACELIFT,Toyota,Hilux,2,28.0,wikimedia_commons,File:2024 Toyota HiLux SR 4X4 mild hybrid front (2).jpg,Toyota Hilux AN120/AN130 car,,2000,917,LuvsMG481,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LuvsMG481; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%282%29.jpg/3840px-2024_Toyota_HiLux_SR_4X4_mild_hybrid_front_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-HILUX-AN120-AN130-DOUBLE-CAB-FACELIFT,Toyota,Hilux,3,27.0,wikimedia_commons,File:Toyota Hilux Invincible 50 (38438265462).jpg,Toyota Hilux AN120/AN130 car,,2000,1200,"More Cars from Berlin, Germany",,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"More Cars from Berlin, Germany; Toyota Hilux Invincible 50; CC BY 2.0",https://commons.wikimedia.org/wiki/File:Toyota_Hilux_Invincible_50_(38438265462).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Toyota_Hilux_Invincible_50_%2838438265462%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-FORTUNER-AN160-SUV-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Fortuner,1,27.0,wikimedia_commons,File:2015 Toyota Fortuner (New Zealand).jpg,Toyota Fortuner AN160 suv car,,2000,1179,NZ Car Freak,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,NZ Car Freak; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2015_Toyota_Fortuner_(New_Zealand).jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/2015_Toyota_Fortuner_%28New_Zealand%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-FORTUNER-AN160-SUV-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Fortuner,2,27.0,wikimedia_commons,"File:Moscow, Teterinsky Lane, Toyota Fortuner black, Sept 2025 01.jpg",Toyota Fortuner AN160 suv car,,2000,1334,Retired electrician,,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Retired electrician; Own work; CC0,"https://commons.wikimedia.org/wiki/File:Moscow,_Teterinsky_Lane,_Toyota_Fortuner_black,_Sept_2025_01.jpg",https://upload.wikimedia.org/wikipedia/commons/1/19/Moscow%2C_Teterinsky_Lane%2C_Toyota_Fortuner_black%2C_Sept_2025_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-FORTUNER-AN160-SUV-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Fortuner,3,27.0,wikimedia_commons,"File:Moscow, Teterinsky Lane, Toyota Fortuner black, Sept 2025 04.jpg",Toyota Fortuner AN160 suv car,,2000,1334,Retired electrician,,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Retired electrician; Own work; CC0,"https://commons.wikimedia.org/wiki/File:Moscow,_Teterinsky_Lane,_Toyota_Fortuner_black,_Sept_2025_04.jpg",https://upload.wikimedia.org/wikipedia/commons/d/df/Moscow%2C_Teterinsky_Lane%2C_Toyota_Fortuner_black%2C_Sept_2025_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-COROLLA-CROSS-XG10-CROSSOVER-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Corolla Cross,1,36.0,wikimedia_commons,File:Toyota Corolla Cross GR Sport (front).jpg,Toyota Corolla Cross car,,2000,1093,JustAnotherCarDesigner,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,JustAnotherCarDesigner; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Toyota_Corolla_Cross_GR_Sport_(front).jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Toyota_Corolla_Cross_GR_Sport_%28front%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-COROLLA-CROSS-XG10-CROSSOVER-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Corolla Cross,2,36.0,wikimedia_commons,File:Toyota Corolla Cross GR Sport (rear).jpg,Toyota Corolla Cross car,,2000,1063,JustAnotherCarDesigner,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,JustAnotherCarDesigner; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Toyota_Corolla_Cross_GR_Sport_(rear).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Toyota_Corolla_Cross_GR_Sport_%28rear%29.jpg/3840px-Toyota_Corolla_Cross_GR_Sport_%28rear%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-TOYOTA-COROLLA-CROSS-XG10-CROSSOVER-PRE-FACELIFT-FACELIFT-SPLIT,Toyota,Corolla Cross,3,35.0,wikimedia_commons,"File:Oldtimer up for rally cross! Toyota Corolla E30, Bangladesh (25319403951).jpg",Toyota Corolla Cross car,,2000,1333,"Shadman Samee from Dhaka, Bangladesh",,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Shadman Samee from Dhaka, Bangladesh; Oldtimer up for rally cross! Toyota Corolla E30, Bangladesh; CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Oldtimer_up_for_rally_cross!_Toyota_Corolla_E30,_Bangladesh_(25319403951).jpg",https://upload.wikimedia.org/wikipedia/commons/e/ef/Oldtimer_up_for_rally_cross%21_Toyota_Corolla_E30%2C_Bangladesh_%2825319403951%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-STARLET-BALENO-DERIVED-REGIONAL-GENERATION-HATCHBACK-GENERATION-F,Toyota,Starlet,1,27.0,wikimedia_commons,File:Toyota Starlet XL (9614807198).jpg,Toyota Starlet car,,2000,1500,"Riley from Christchurch, New Zealand",,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Riley from Christchurch, New Zealand; Toyota Starlet XL; CC BY 2.0",https://commons.wikimedia.org/wiki/File:Toyota_Starlet_XL_(9614807198).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Toyota_Starlet_XL_%289614807198%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-STARLET-BALENO-DERIVED-REGIONAL-GENERATION-HATCHBACK-GENERATION-F,Toyota,Starlet,2,27.0,wikimedia_commons,File:1981 Toyota Starlet S.jpg,Toyota Starlet car,,2000,1449,Calreyn88,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Calreyn88; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:1981_Toyota_Starlet_S.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/1981_Toyota_Starlet_S.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-STARLET-BALENO-DERIVED-REGIONAL-GENERATION-HATCHBACK-GENERATION-F,Toyota,Starlet,3,27.0,wikimedia_commons,File:1980 Toyota Starlet S.jpg,Toyota Starlet car,,2000,1500,Calreyn88,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Calreyn88; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:1980_Toyota_Starlet_S.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/1980_Toyota_Starlet_S.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-VITZ-CELERIO-DERIVED-REGIONAL-GENERATION-HATCHBACK-CURRENT,Toyota,Vitz,1,28.0,wikimedia_commons,File:The rearview of No.279 Netz Toyota Nara Bam Vitz in Netz Cup Vitz Race 2019.jpg,Toyota Vitz car,,2000,1500,Tokumeigakarinoaoshima,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Tokumeigakarinoaoshima; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:The_rearview_of_No.279_Netz_Toyota_Nara_Bam_Vitz_in_Netz_Cup_Vitz_Race_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/The_rearview_of_No.279_Netz_Toyota_Nara_Bam_Vitz_in_Netz_Cup_Vitz_Race_2019.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
